 1. 主要討論點：
   a. 表揚何國昭先生致力於宋江鎮記憶文化推動與卓越市民議案
   b. 水利局部落防護治水防洪的公法工作報告
   c. 交通局在各公車轉運站後車庭反詐騙宣導
   d. 教育局在各醫院衛生所反詐騙宣導
   e. 衛生局在各關懷據點反詐騙宣導
   f. 文化局在藝文活動反詐騙宣導
   g. 觀旅局在地景點反詐騙宣導
   h. 各局處反詐騙策略與成果

2. 決策事項：
   a. 通過表揚何國昭先生議案
   b. 通過水利局部落防護治水防洪的公法工作報告
   c. 通過交通局在各公車轉運站後車庭反詐騙宣導
   d. 通過教育局在各醫院衛生所反詐騙宣導
   e. 通過衛生局在各關懷據點反詐騙宣導
   f. 通過文化局在藝文活動反詐騙宣導
   g. 通過觀旅局在地景點反詐騙宣導
   h. 通過各局處反詐騙策略與成果

3. 未來行動計畫及截止日期：
   a. 反詐騙策略與成果報告：每月提交
   b. 部落防護治水防洪的公法工作報告：每月提交
   c. 反詐騙宣導：每月定期更新

4. 各項行動計畫的負責人：
   a. 反詐騙策略與成果報告：各局處負責人
   b. 部落防護治水防洪的公法工作報告：水利局負責人
   c. 反詐騙宣導：觀旅局、文化局、各公所、衛生局、教育局、交通局負責人

5. 其他重要決議：
   a. 新臺幣1265萬6千元整用於拆除協信國小前的未予使用年限的人行路橋
   b. 社會局三案、環境保護局一案、計畫名稱與店鋪金額請參閱書面</s>
